PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank
4217772,52.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9992818,Very High,Responsible Party,Responsible Party,1
22859361,37.0,2.0,0.0,0.0,0.0,0.0,1.0,0.99859124,Very High,Responsible Party,Responsible Party,2
59107,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9927261,Very High,Minor,Minor,3
1157075,68.0,4.0,0.0,1.0,0.0,0.0,0.0,0.99160355,Very High,Responsible Party,Responsible Party,4
1768293,86.0,2.0,0.0,1.0,1.0,0.0,0.0,0.99154824,Very High,Responsible Party,Responsible Party,5
2241517,98.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99112767,Very High,Primary Beneficiary,Primary Beneficiary,6
2241612,97.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9897199,Very High,Primary Beneficiary,Primary Beneficiary,7
11009759,97.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9897199,Very High,,,8
4981364,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9887967,Very High,Primary Beneficiary,Primary Beneficiary,9
2681843,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9887967,Very High,Primary Beneficiary,Primary Beneficiary,10
18390404,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.98792285,Very High,Responsible Party,Responsible Party,11
5976029,95.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98761916,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",12
2681873,95.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98761916,Very High,Contingent Beneficiary,Contingent Beneficiary,13
1202052,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98746455,Very High,Primary Beneficiary,Primary Beneficiary,14
2408031,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98746455,Very High,Primary Beneficiary,Primary Beneficiary,15
3639600,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98746455,Very High,Trusted Contact,Trusted Contact,16
10762632,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98746455,Very High,,,17
6265406,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98746455,Very High,Contingent Beneficiary,Contingent Beneficiary,18
25378247,86.0,1.0,12009.3,0.0,0.0,0.0,0.0,0.9851489,Very High,Additional Grantor,Additional Grantor,19
25378249,84.0,1.0,12009.3,0.0,0.0,0.0,0.0,0.9824356,Very High,Additional Grantor,Additional Grantor,20
5609146,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98240745,Very High,Primary Beneficiary,Primary Beneficiary,21
5712604,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98240745,Very High,Primary Beneficiary,Primary Beneficiary,22
5926146,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98240745,Very High,Primary Beneficiary,Primary Beneficiary,23
33453258,84.0,1.0,480921.58,0.0,0.0,1.0,0.0,0.9811652,Very High,Additional Grantor,Additional Grantor,24
27484434,81.0,1.0,213743.66,0.0,0.0,0.0,0.0,0.98050976,Very High,Additional Grantor,Additional Grantor,25
198088,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98028046,Very High,Primary Beneficiary,Primary Beneficiary,26
1687586,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98028046,Very High,Primary Beneficiary,Primary Beneficiary,27
5980178,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98028046,Very High,Primary Beneficiary,Primary Beneficiary,28
35188326,50.0,2.0,0.0,1.0,1.0,0.0,0.0,0.98000735,Very High,Responsible Party,Responsible Party,29
27447863,77.0,1.0,479571.74,0.0,0.0,1.0,0.0,0.9798989,Very High,Additional Grantor,Additional Grantor,30
27600803,96.0,1.0,537233.69,0.0,0.0,1.0,0.0,0.9790197,Very High,Additional Grantor,Additional Grantor,31
6101019,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97739726,Very High,Primary Beneficiary,Primary Beneficiary,32
24469,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97739726,Very High,Primary Beneficiary,Primary Beneficiary,33
6047827,87.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97739726,Very High,Primary Beneficiary,Primary Beneficiary,34
2447679,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97679377,Very High,Primary Beneficiary,Primary Beneficiary,35
6050773,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97679377,Very High,Primary Beneficiary,Primary Beneficiary,36
5247327,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97679377,Very High,Primary Beneficiary,Primary Beneficiary,37
1215250,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97679377,Very High,Primary Beneficiary,Primary Beneficiary,38
823417,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97679377,Very High,Primary Beneficiary,Primary Beneficiary,39
