feature,importance
in_client_household,0.34696844
n_households,0.3360033
max_owner_age,0.08332417
n_as_any_bene,0.026146563
n_as_trusted_contact,0.024617916
has_ira_associated,0.019031735
n_as_primary_bene,0.018606925
n_as_minor,0.015106366
n_accounts_named_on,0.015104122
associated_acct_age_mean,0.014295152
any_owner_70plus,0.011692373
n_as_tod_bene,0.011687042
associated_peak_portfolio,0.010511629
n_as_contingent_bene,0.01048318
age_over_70,0.008862619
any_owner_80plus,0.007677915
n_ira_accts,0.0067329966
associated_acct_age_max,0.0066891713
age_missing,0.0058268346
age_under_40,0.0041958275
n_trust_accts,0.003864551
PartyAge,0.003862857
n_joint_accts,0.0031648197
multi_account_named,0.0017338241
log_max_portfolio,0.00088311225
has_trust_associated,0.00043130995
age_55_70,0.0004307861
associated_distribution_total,0.00038917112
associated_portfolio_mean,0.00037985214
age_40_55,0.00031573017
associated_portfolio_max,0.0003088835
log_portfolio,0.00028800388
associated_portfolio_total,0.00024444875
associated_has_rmd,0.00013839474
n_advisory_accts,0.0
has_advisory_associated,0.0
n_529_accts,0.0
associated_rollover_total,0.0
associated_has_rollover,0.0
associated_margin_balance,0.0
associated_has_distribution,0.0
associated_any_house_call,0.0
associated_any_federal_call,0.0
