PartyId,total_cytd_outflow,total_cytd_inflow,has_large_withdrawal,prob_outflow_risk,direction_flag,action_priority_score
1401425,38982004.96,0.0,1,0.9983,Outflow Risk,0.9983
1200875,11043597.48,0.0,1,0.9966,Outflow Risk,0.9966
3177435,10202000.1,0.0,1,0.9914,Outflow Risk,0.9914
1605328,9938000.0,0.0,1,0.9969,Outflow Risk,0.9969
11453540,9921000.87,0.0,1,0.9953,Outflow Risk,0.9953
606918,8559383.96,0.0,1,0.9979,Outflow Risk,0.9979
2023261,7648373.8,0.0,1,0.9986,Outflow Risk,0.9986
3480913,7595500.0,0.0,1,0.9764,Outflow Risk,0.9786
281520,6758023.06,0.0,1,0.9978,Outflow Risk,0.9978
1001381,6546548.83,0.0,1,0.9988,Outflow Risk,0.9988
1295476,6475588.84,0.0,1,0.9976,Outflow Risk,0.9976
1617254,6456830.73,0.0,1,0.9979,Outflow Risk,0.9979
1853078,6174324.83,0.0,1,0.9983,Outflow Risk,0.9983
23119051,6047332.7,0.0,1,0.9871,Outflow Risk,0.9871
340455,5812739.37,0.0,1,0.9955,Outflow Risk,0.9955
184478,5810376.08,0.0,1,0.9186,Outflow Risk,0.9226
1170997,5797875.19,0.0,1,0.9976,Outflow Risk,0.9976
14206625,5679268.0,0.0,1,0.9963,Outflow Risk,0.9963
17803448,5281516.92,0.0,1,0.9941,Outflow Risk,0.9941
1390815,5045002.56,0.0,1,0.9977,Outflow Risk,0.9977
1609711,4987917.51,0.0,1,0.9941,Outflow Risk,0.9941
3503438,4896000.0,0.0,1,0.9989,Outflow Risk,0.9989
6135520,4778203.13,0.0,1,0.9965,Outflow Risk,0.9965
5006042,4722689.51,0.0,1,0.9757,Outflow Risk,0.9757
1565392,4682882.5,0.0,1,0.9943,Outflow Risk,0.9943
4151365,4568906.32,0.0,1,0.9975,Outflow Risk,0.9975
22933014,4472057.93,0.0,1,0.9742,Outflow Risk,0.9742
5811861,4388387.21,0.0,1,0.9967,Outflow Risk,0.9967
4019459,4208031.7,0.0,1,0.9981,Outflow Risk,0.9981
1396010,4184819.39,0.0,1,0.9984,Outflow Risk,0.9984
2408197,4160200.0,0.0,1,0.9986,Outflow Risk,0.9986
3662340,4042535.21,0.0,1,0.9908,Outflow Risk,0.9908
4345964,4032040.0,0.0,1,0.8663,Outflow Risk,0.9113
4201301,4030280.0,0.0,1,0.9971,Outflow Risk,0.9971
2578025,3958912.95,0.0,1,0.988,Outflow Risk,0.988
3599882,3952138.57,0.0,1,0.9987,Outflow Risk,0.9987
5841624,3937914.38,0.0,1,0.9987,Outflow Risk,0.9987
3543387,3906411.83,0.0,1,0.9977,Outflow Risk,0.9977
268475,3899792.42,0.0,1,0.9979,Outflow Risk,0.9979
5918854,3872082.4,0.0,1,0.9983,Outflow Risk,0.9983
6065255,3742553.3,0.0,1,0.9925,Outflow Risk,0.9925
1755150,3704000.0,0.0,1,0.999,Outflow Risk,0.999
1886542,3684225.16,0.0,1,0.9904,Outflow Risk,0.9904
2406055,3628580.42,0.0,1,0.9827,Outflow Risk,0.9827
375262,3614285.62,0.0,1,0.9107,Outflow Risk,0.9107
899561,3605105.04,0.0,1,0.9983,Outflow Risk,0.9983
1767572,3598163.7,0.0,1,0.992,Outflow Risk,0.992
4569269,3593928.6,0.0,1,0.998,Outflow Risk,0.998
3651637,3562322.55,0.0,1,0.9989,Outflow Risk,0.9989
6000147,3390463.18,0.0,1,0.9696,Outflow Risk,0.9696
5753891,3277740.0,0.0,1,0.9984,Outflow Risk,0.9984
6035669,3273668.55,0.0,1,0.9948,Outflow Risk,0.9948
1653278,3262076.15,0.0,1,0.9987,Outflow Risk,0.9987
1849339,3240432.0,0.0,1,0.9986,Outflow Risk,0.9986
3727371,3233800.0,0.0,1,0.9981,Outflow Risk,0.9981
4718580,3219377.92999999,0.0,1,0.9987,Outflow Risk,0.9987
5586379,3215720.17,0.0,1,0.9983,Outflow Risk,0.9983
1045873,3185313.68,0.0,1,0.9972,Outflow Risk,0.9972
18156621,3180795.0,0.0,1,0.9709,Outflow Risk,0.9709
2245499,3126860.07,0.0,1,0.9978,Outflow Risk,0.9978
1736352,3105280.94,0.0,1,0.9956,Outflow Risk,0.9956
1861367,3062386.47,0.0,1,0.9987,Outflow Risk,0.9987
6075931,3060000.0,0.0,1,0.9982,Outflow Risk,0.9982
4313894,3057000.0,0.0,1,0.9993,Outflow Risk,0.9993
2348354,3052600.0,0.0,1,0.9965,Outflow Risk,0.9965
325766,3028067.5,0.0,1,0.9729,Outflow Risk,0.9729
242432,2987564.27,0.0,1,0.9823,Outflow Risk,0.9823
89575,2985673.48,0.0,1,0.9349,Outflow Risk,0.943
3159263,2984797.94,0.0,1,0.9894,Outflow Risk,0.9894
15893946,2970258.03,0.0,1,0.985,Outflow Risk,0.985
6249821,2950847.25,0.0,1,0.9984,Outflow Risk,0.9984
3530284,2907836.0,0.0,1,0.9931,Outflow Risk,0.9931
4073812,2894793.7,0.0,1,0.9944,Outflow Risk,0.9944
1765889,2883781.38,0.0,1,0.9588,Outflow Risk,0.9678
5300602,2862870.29,0.0,1,0.9947,Outflow Risk,0.9947
21996783,2805333.36,0.0,1,0.9953,Outflow Risk,0.9953
350731,2776990.67,0.0,1,0.9988,Outflow Risk,0.9988
353867,2772750.42,0.0,1,0.8975,Outflow Risk,0.8975
27861690,2746625.86,0.0,1,0.9884,Outflow Risk,0.9884
6233201,2734673.55,0.0,1,0.9988,Outflow Risk,0.9988
1447727,2723400.0,0.0,1,0.9941,Outflow Risk,0.9941
722023,2722260.0,0.0,1,0.9823,Outflow Risk,0.9823
862119,2719066.94,0.0,1,0.9898,Outflow Risk,0.9898
20146999,2698764.0,0.0,1,0.9959,Outflow Risk,0.9959
3526539,2659392.2,0.0,1,0.9954,Outflow Risk,0.9954
18517369,2592238.59,0.0,1,0.9907,Outflow Risk,0.9907
17803020,2552345.42,0.0,1,0.9955,Outflow Risk,0.9955
1699079,2527718.09,0.0,1,0.9976,Outflow Risk,0.9976
3282557,2508750.0,0.0,1,0.9968,Outflow Risk,0.9968
5869085,2463829.91,0.0,1,0.9955,Outflow Risk,0.9955
25437107,2440595.04,0.0,1,0.9845,Outflow Risk,0.9845
2225935,2435390.69,0.0,1,0.9606,Outflow Risk,0.9678
1116323,2434833.07,0.0,1,0.9982,Outflow Risk,0.9982
1193036,2414000.91,0.0,1,0.9984,Outflow Risk,0.9984
4095880,2410625.0,0.0,1,0.9987,Outflow Risk,0.9987
27861677,2405558.79,0.0,1,0.9823,Outflow Risk,0.9823
21969491,2396155.42999999,0.0,1,0.9921,Outflow Risk,0.9921
5841480,2396055.05,0.0,1,0.9525,Outflow Risk,0.9525
4095922,2385625.0,0.0,1,0.9963,Outflow Risk,0.9963
21922686,2368034.67,0.0,1,0.9262,Outflow Risk,0.9325
1006221,2365108.64,0.0,1,0.9988,Outflow Risk,0.9988
16973992,2346000.0,0.0,1,0.993,Outflow Risk,0.993
5933635,2338000.0,0.0,0,0.0892,Neutral,0.0892
1109683,2329846.57,0.0,1,0.9992,Outflow Risk,0.9992
1615483,2317334.41,0.0,1,0.999,Outflow Risk,0.999
5964813,2314000.0,0.0,1,0.9542,Outflow Risk,0.9542
110449,2302192.0,0.0,1,0.8981,Outflow Risk,0.9172
654818,2301262.79,0.0,1,0.9982,Outflow Risk,0.9982
1282263,2276117.95,0.0,1,0.9976,Outflow Risk,0.9976
5738532,2271709.9,0.0,1,0.9962,Outflow Risk,0.9962
3681138,2259460.53,0.0,1,0.9974,Outflow Risk,0.9974
6120069,2253890.31,0.0,1,0.9543,Outflow Risk,0.9543
330902,2222692.08,0.0,1,0.9903,Outflow Risk,0.9903
6066561,2221015.6,0.0,1,0.9964,Outflow Risk,0.9964
5613769,2217998.45,0.0,1,0.9987,Outflow Risk,0.9987
5695409,2217000.5,0.0,1,0.9956,Outflow Risk,0.9956
576071,2212427.92,0.0,1,0.9181,Outflow Risk,0.9181
23277425,2210914.0,0.0,1,0.9846,Outflow Risk,0.9846
22765227,2202288.8,0.0,1,0.9973,Outflow Risk,0.9973
3331267,2180431.2,0.0,0,0.1513,Neutral,0.1521
22122603,2164076.38,0.0,1,0.8603,Outflow Risk,0.8919
21990616,2161227.96,0.0,1,0.9961,Outflow Risk,0.9961
22451560,2142000.0,0.0,1,0.9375,Outflow Risk,0.9453
5990682,2097817.66,0.0,1,0.999,Outflow Risk,0.999
217863,2068657.36,0.0,1,0.9963,Outflow Risk,0.9963
1146064,2055000.0,0.0,1,0.9863,Outflow Risk,0.9863
350108,2050000.0,0.0,1,0.9977,Outflow Risk,0.9977
3144638,2017509.94,0.0,1,0.9931,Outflow Risk,0.9931
12296397,2013000.0,0.0,1,0.9882,Outflow Risk,0.9882
1117784,1995017.28,0.0,1,0.9959,Outflow Risk,0.9959
32214562,1991642.83,0.0,1,0.999,Outflow Risk,0.999
25349922,1980766.7,0.0,1,0.9825,Outflow Risk,0.9825
204265,1972857.2,0.0,1,0.9854,Outflow Risk,0.9854
1860181,1964857.72,0.0,0,0.1103,Neutral,0.1103
465219,1964500.0,0.0,1,0.9987,Outflow Risk,0.9987
5928257,1962000.0,0.0,1,0.9978,Outflow Risk,0.9978
4112904,1955205.34,0.0,1,0.9987,Outflow Risk,0.9987
4068349,1941992.38,0.0,1,0.9989,Outflow Risk,0.9989
6225713,1939900.0,0.0,1,0.9979,Outflow Risk,0.9979
1860672,1930655.16,0.0,1,0.9987,Outflow Risk,0.9987
3478988,1927768.60999999,0.0,0,0.1737,Neutral,0.1737
1714305,1917158.91,0.0,1,0.9946,Outflow Risk,0.9946
25283254,1914666.0,0.0,1,0.9837,Outflow Risk,0.9837
1967512,1910000.0,0.0,1,0.9976,Outflow Risk,0.9976
4656080,1908178.85,0.0,1,0.9906,Outflow Risk,0.9906
871904,1902097.48,0.0,1,0.9891,Outflow Risk,0.9891
5665477,1901515.17,0.0,1,0.9964,Outflow Risk,0.9964
2597272,1897796.93,0.0,1,0.9839,Outflow Risk,0.9839
3805210,1889485.62,0.0,1,0.9991,Outflow Risk,0.9991
6238935,1869842.76,0.0,1,0.9971,Outflow Risk,0.9971
250585,1856319.75,0.0,0,0.1462,Neutral,0.1479
21871721,1847575.06,0.0,1,0.9905,Outflow Risk,0.9905
6190039,1843267.57,0.0,1,0.9569,Outflow Risk,0.9569
12250825,1807926.8,0.0,1,0.9974,Outflow Risk,0.9974
149774,1772541.93,0.0,1,0.9967,Outflow Risk,0.9967
1960115,1767385.94,0.0,1,0.9886,Outflow Risk,0.9886
1186211,1756540.54,0.0,1,0.9966,Outflow Risk,0.9966
1952481,1747197.08,0.0,1,0.9978,Outflow Risk,0.9978
346293,1745658.39,0.0,1,0.9988,Outflow Risk,0.9988
1861318,1731013.21,0.0,1,0.9946,Outflow Risk,0.9946
2656343,1710097.55,0.0,1,0.9872,Outflow Risk,0.9872
11429126,1703500.0,0.0,1,0.9976,Outflow Risk,0.9976
1240817,1700783.14,0.0,1,0.9973,Outflow Risk,0.9973
3737914,1698572.13,0.0,1,0.9976,Outflow Risk,0.9976
264251,1690345.02,0.0,1,0.9983,Outflow Risk,0.9983
14095880,1688750.65,0.0,1,0.9893,Outflow Risk,0.9893
