PartyId,direction_flag,prob_consolidation,prob_outflow_risk,prob_neutral,action_priority_score,total_external_balance,total_cytd_inflow,total_cytd_outflow,has_large_withdrawal,has_rollover,has_external_account,tenure_years,PartyAge
19024489,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,49902.36,6561.5,0.0,0,0,1,4.03287671232876,41
1619410,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,85359.34,6909.18,0.0,0,0,1,15.28493151,35
28212437,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,1359558.86,1.46,0.0,0,0,1,1.61369863013698,56
2760967,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,165495.58,7000.0,0.0,0,0,1,11.79178082,30
29300510,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,670978.17,576250.71,0.0,0,1,1,1.42465753424657,54
4095108,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,25573.42,78860.84,3000.0,0,1,1,8.28493150684931,43
2769282,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,496230.0,7000.0,0.0,0,0,1,11.70136986,41
4472790,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,474455.93,10000.0,0.0,0,0,1,7.48219178082191,52
5657600,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,641246.04,21000.0,14000.0,0,0,1,7.33150684931506,34
27819829,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,551028.23,251585.699999999,0.0,0,1,1,1.80547945205479,56
3082445,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,376100.69,10500.0,0.0,0,0,1,10.68767123,49
24810846,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,35084.12,2556.02,0.0,0,0,1,2.58630136986301,46
22920128,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,38753.09,1029.45,0.0,0,0,1,2.64931506849315,29
26944885,Consolidation Opportunity,0.9996,0.0,0.0004,0.7997,80841.31,8250.0,0.0,0,0,1,2.22465753424657,31
4674053,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,1400490.49,64400.0,0.0,0,0,1,7.50410958904109,49
22123592,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,631900.23,21500.0,0.0,0,0,1,3.41095890410958,40
786197,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,820253.02,11087.51,0.0,0,0,1,16.97260274,43
771461,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,11774940.52,11223.0,34559.65,0,0,1,25.73424658,56
27452668,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,45893.28,22900.0,0.0,0,0,1,1.96164383561643,43
21960926,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,816075.47,22600.0,0.0,0,0,1,3.45205479452054,49
267057,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,2224775.22,444643.65,0.0,0,1,1,30.01369863,55
4797089,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,207762.81,89000.0,7500.0,0,0,1,9.14794520547945,30
32214344,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,246210.8,286406.94,0.0,0,1,1,5.94246575342465,44
5489927,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,2877408.34,30600.0,0.0,0,0,1,7.42465753424657,54
2980746,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,3589179.92,41200.0,24600.0,0,0,1,11.01369863,52
24618556,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,26363.44,4239.76,0.0,0,0,1,2.64657534246575,25
2691491,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,588701.01,7000.0,0.0,0,0,1,18.33150685,41
22088566,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,584922.85,39250.0,0.0,0,0,1,3.41643835616438,39
3367189,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,393251.73,16600.0,0.0,0,0,1,9.83835616438356,50
25521326,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,648141.63,89775.24,0.0,0,0,1,2.4904109589041,38
25295400,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,108773.41,87625.19,0.0,0,0,1,2.48767123287671,26
5565369,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,1748856.28,4892.83,0.0,0,0,1,7.44109589041095,48
3711553,Consolidation Opportunity,0.9995,0.0,0.0005,0.7996,185352.02,36001.27,21505.83,0,0,1,8.85753424657534,39
5226932,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,3576170.99,24000.0,16000.0,0,0,1,30.917808219178,58
61076,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,808904.17,7000.0,13500.0,0,0,1,25.51232877,42
25280824,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,56794.86,124523.98,0.0,0,0,1,2.58904109589041,56
24449677,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,116031.629999999,166832.24,0.0,0,0,1,2.78356164383561,42
14632328,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,48616.54,52499.9799999999,0.0,0,0,1,5.36438356164383,23
20169925,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,28182.97,7000.0,0.0,0,0,1,3.58356164383561,24
22083295,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,1442672.13,24600.0,0.0,0,0,1,3.42191780821917,51
20162929,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,29862.91,2040.0,0.0,0,0,1,3.6958904109589,27
4118277,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,139017.69,1850.0,0.0,0,0,1,7.84109589041095,29
21944376,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,124155.43,87675.0,0.0,0,0,1,3.43287671232876,37
25456219,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,97568.16,28351.72,0.0,0,1,1,2.52876712328767,24
27360171,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,156652.91,7000.0,0.0,0,0,1,2.06575342465753,41
1150523,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,3115439.7,50000.0,50000.0,0,0,1,16.91506849,60
4614116,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,755675.11,101159.46,0.0,0,0,1,7.48493150684931,55
332913,Consolidation Opportunity,0.9994,0.0,0.0006,0.7995,128939.06,24645.23,4000.0,0,0,1,18.24383562,52
18714717,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,3728929.05,0.0,0.0,0,0,1,4.10684931506849,49
343092,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,664028.38,25000.0,50000.0,0,0,1,18.4739726,60
32290233,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,600863.09,281417.16,0.0,0,1,1,0.832876712328767,51
3043768,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,569474.94,21000.0,14000.97,0,0,1,1.569863014,44
31943921,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,642860.57,882784.63,7000.0,0,1,1,0.923287671232876,35
17303345,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,49961.56,2919658.02,32839.91,0,0,1,4.48767123287671,51
3568979,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,723890.02,0.0,0.0,0,0,1,9.24657534246575,45
3496412,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,3057393.86,0.0,0.0,0,0,1,9.47123287671232,55
15452660,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,17093.96,8875.0,0.0,0,0,1,5.12328767123287,24
14532932,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,478569.98,24900.0,0.0,0,0,1,5.40821917808219,53
32902158,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,85158.35,492160.44,0.0,0,1,1,0.750684931506849,38
5486253,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,193474.55,0.0,0.0,0,0,1,7.44657534246575,63
29140980,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,45399.37,31350.0,0.0,0,0,1,1.43561643835616,32
2992259,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,162961.28,357155.23,9345.69,0,0,1,11.00547945,35
1200933,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,397869.45,7600.0,17488.97,0,0,1,21.00273973,41
4080402,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,759100.82,0.0,0.0,0,0,1,8.34794520547945,57
21960910,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,337493.98,24600.0,0.0,0,0,1,3.45205479452054,51
21871415,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,34568.15,3500.0,0.0,0,0,1,3.45753424657534,26
2031943,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,593097.85,0.0,19740.75,0,0,1,13.98356164,49
4609827,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,532694.65,77500.0,0.0,0,0,1,7.57260273972602,42
1666943,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,1761913.92,0.0,5882.8,0,0,1,15.05753425,58
1152751,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,756211.03,30200.0,0.0,0,0,1,16.93150685,54
1152874,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,227694.4,30200.0,0.0,0,0,1,16.93150685,56
22832262,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,583884.73,39250.0,0.0,0,0,1,3.2,39
6177506,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,11740.54,8187.47,8187.47,0,0,1,25.1643835616438,61
27330718,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,14425.13,24800.0,0.0,0,0,1,2.04931506849315,24
1162168,Consolidation Opportunity,0.9992,0.0,0.0008,0.7994,33088.76,22600.0,0.0,0,0,1,16.26849315,49
5023,Consolidation Opportunity,0.9993,0.0,0.0007,0.7994,307227.94,71400.0,0.0,0,0,1,25.35616438,42
149556,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,649377.87,0.0,0.0,0,0,1,20.0739726,39
5774760,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1054135.76,0.0,0.0,0,0,1,7.07945205479452,50
1158126,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,2857769.04,0.0,0.0,0,0,1,16.90136986,52
2116029,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,242463.93,0.0,0.0,0,0,1,7.063013699,56
3496500,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,278925.99,0.0,0.0,0,0,1,9.47123287671232,58
6051276,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,2551037.98999999,0.0,0.0,0,0,1,22.1287671232876,55
16812038,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1441073.58999999,0.0,0.0,0,0,1,4.75890410958904,41
